"","LibID","Library","ILDSDeliveryStop","CatalogLink","Month","Year","BibsAdded","ITEM.LOC.CODE","CHKOUTS","CHKINS","RENEWALS","HOLDS","Hl.RECLL","TOTAL..","PERCENT","BorrowingLibrary","ads","adsj","ams","amsj","bbs","bcs","bcsj","bfs","bfsj","bis","bisj","bks","bksj","bps","bpsj","brs","brsj","bvs","bvsj","bws","bwsj","bys","bysj","bzs","cas","casj","ccs","ccsj","chs","chsj","cis","cisj","cns","cnsj","crs","crsj","cts","ctsj","cws","cwsj","czs","czsj","dgs","dgsj","dos","dosj","ehs","ehsj","eps","epsj","ess","essj","evs","evsj","fbs","fbsj","fms","fmsj","fps","fpsj","frs","frsj","gas","gps","gpsj","gws","gwsj","has","hasj","hds","hdsj","hks","hksj","hss","hssj","hws","hwsj","ins","insj","jds","jdsj","lgs","lgsj","lps","lpsj","lys","lysj","mas","max","mcs","mcsj","mds","mdsj","mks","mls","mps","mpsj","mts","mtsj","mws","mwsj","nls","nlsj","nrs","nrsj","oes","oesj","ols","olsj","ops","opsj","ors","orsj","ozs","ozsj","pcs","pfs","pfsj","phs","phsj","pps","ppsj","pss","pssj","pts","ptsj","rds","rdsj","rfs","rfsj","rgs","rgsj","ros","rosj","rps","rpsj","rss","rssj","sas","sasj","sfs","sfsj","shs","shsj","sls","sps","spsj","sts","stsj","svs","svsj","tbs","tfs","tfsj","ths","thsj","tps","tpsj","ttr","tts","wcs","wcsj","wms","wmsj","wos","wosj","wrs","wrsj","ILL","bzsj","mjs","LOCATION","INTL.USE.","COPY.USE","IUSE3","TOTAL","ItemsAdded","PatronsAdded"
"1","ADS","Acorn Public Library District","XBR","https://catalog.swanlibraries.net/ads","January",2011,63,"ads",5771,5236,1357,150,0,12514,0.00475986348008628,"ADS Acorn",0,0,32,6,0,6,0,15,1,14,2,5,1,3,3,8,3,15,0,5,0,37,2,0,0,0,33,1,6,0,16,4,6,1,26,2,11,8,12,1,0,0,71,0,8,1,86,13,12,6,37,3,21,10,0,0,20,3,12,3,26,4,0,8,1,9,0,13,2,32,4,9,0,19,0,30,4,61,7,3,0,19,3,25,0,12,1,0,0,12,1,20,3,1,5,10,0,24,4,3,0,16,2,2,0,5,1,82,3,77,13,41,4,12,2,2,23,8,19,4,3,1,2,1,13,9,2,1,8,1,1,2,0,0,5,1,19,0,3,1,9,1,14,2,0,13,2,6,0,4,0,0,14,1,2,1,21,5,0,0,19,5,37,5,1,1,41,4,1563,,,"ads",39,0,33,72,270,88
"2","AMS","Alsip-Merrionette Park Public Library District","XBR","https://catalog.swanlibraries.net/ams","January",2011,181,"ams",10549,9943,1511,359,0,22362,0.00850567901084301,"AMS Alsip",14,1,0,0,0,4,1,9,2,24,9,8,1,16,1,10,3,11,0,7,2,32,5,0,0,0,24,4,3,1,22,1,4,2,9,2,7,5,4,3,0,0,58,3,17,1,67,11,9,19,24,1,20,2,0,0,19,1,14,0,27,1,0,7,1,12,1,10,3,26,3,10,0,15,0,28,2,49,1,17,1,21,2,12,0,11,0,0,0,17,1,9,0,1,1,7,1,18,1,7,1,12,2,5,2,2,1,64,2,53,7,25,3,10,1,4,27,2,10,2,6,1,2,0,19,2,0,1,4,3,0,2,1,0,4,2,16,5,0,0,5,0,13,1,0,8,0,2,0,2,0,0,7,2,0,0,29,8,0,0,12,3,21,2,2,2,33,3,1298,,,,,,,,918,92
"3","BCS","Beecher Community Library District","XBR","https://catalog.swanlibraries.net/bcs","January",2011,5,"bcs",1842,1710,358,13,0,3923,0.00149216433054007,"BCS Beecher",4,2,10,4,0,0,0,7,2,14,3,1,2,2,0,3,0,3,0,1,0,11,3,0,0,0,12,1,2,1,11,2,3,1,11,1,6,4,1,0,0,0,22,3,2,0,24,8,7,1,7,1,14,6,0,0,8,1,6,0,9,2,0,11,0,2,0,6,2,13,4,3,2,4,1,9,1,20,4,2,0,4,1,6,3,0,2,0,0,4,0,3,0,0,1,6,1,19,2,1,0,5,4,1,0,2,0,22,6,19,5,13,1,5,0,0,5,1,8,2,4,0,0,2,3,3,0,1,2,0,4,0,0,0,3,3,5,2,1,0,2,4,3,3,0,3,3,3,1,0,0,0,2,0,1,0,6,9,0,0,2,0,15,2,0,0,17,5,599,,,,,,,,129,8
"4","BFS","Brookfield Public Library","XBR","https://catalog.swanlibraries.net/bfs","January",2011,105,"bfs",7928,7499,1435,143,0,17005,0.00646807403538974,"BFS Brookfield",26,3,44,18,0,9,0,0,0,21,5,13,3,3,4,13,4,13,1,8,1,53,7,0,0,0,36,3,12,4,30,6,6,7,23,10,16,8,11,6,0,0,117,19,14,3,151,31,32,18,52,4,30,3,0,0,31,9,25,5,40,10,0,14,5,11,2,13,4,60,13,15,5,25,7,50,7,99,22,2,1,37,13,47,19,18,4,1,0,27,2,14,3,1,1,30,6,22,15,2,1,28,4,8,7,14,2,96,18,131,30,40,8,20,6,8,72,5,21,7,3,0,2,1,31,8,2,1,28,6,6,2,1,0,8,1,25,11,5,1,15,4,18,2,0,15,3,7,1,4,3,0,21,6,3,1,52,23,0,0,22,7,41,6,4,3,80,13,2660,,,,,,,,20,62
"5","BIS","Blue Island Public Library","XBR","https://catalog.swanlibraries.net/bis","January",2011,148,"bis",7300,6949,1612,192,0,16053,0.00610596839106801,"BIS Blue Island",8,2,27,12,0,12,4,19,8,0,0,6,1,3,2,15,2,11,2,11,0,39,5,0,0,0,31,6,6,2,21,11,5,4,20,4,10,9,4,2,0,0,60,14,13,3,83,24,9,18,25,5,21,7,0,0,13,0,14,3,20,5,0,23,4,10,1,24,4,23,9,12,1,19,1,37,6,71,6,1,2,22,2,17,13,3,1,2,0,20,2,8,3,0,0,17,2,25,9,7,0,18,6,7,1,3,1,50,9,58,22,25,5,10,5,1,35,0,14,7,5,0,3,0,12,4,0,1,7,3,4,2,0,0,7,2,25,5,4,0,7,5,11,2,0,4,3,5,0,0,0,0,19,5,1,0,29,13,0,0,17,6,24,4,3,2,52,8,1649,,,,,,,,466,122
"6","BKS","Berkeley Public Library","XBR","https://catalog.swanlibraries.net/bks","January",2011,25,"bks",1450,1406,219,83,1,3159,0.00120156694371045,"BKS Berkeley",3,0,7,4,0,1,0,3,1,3,1,0,0,0,1,6,2,3,1,2,0,13,0,0,0,0,8,1,2,2,7,1,2,0,12,1,1,1,0,0,0,0,25,2,2,0,31,6,5,5,14,0,7,2,0,0,2,5,4,1,5,0,0,11,3,3,0,4,1,2,5,5,1,4,1,10,1,15,2,1,0,6,3,6,1,1,0,0,0,6,0,4,0,3,0,11,1,5,3,1,0,5,0,0,1,2,0,23,1,22,5,8,1,12,2,0,8,1,8,4,2,0,0,0,3,1,0,0,4,1,3,0,0,0,1,0,5,2,0,0,1,1,2,5,0,4,1,0,1,2,0,0,2,0,0,2,13,6,0,0,3,1,10,1,4,0,12,9,530,,,,,,,,80,19
"7","BPS","Bedford Park Public Library District","XBR","https://catalog.swanlibraries.net/bps","January",2011,4,"bps",1012,889,327,25,0,2253,0.000856958000689979,"BPS Bedford Park",3,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,8,0,0,0,5,0,0,0,1,0,2,0,0,0,2,0,2,1,1,0,0,2,0,2,0,0,0,2,0,0,0,3,0,3,0,0,1,1,0,1,0,3,0,1,0,0,0,1,1,1,0,0,0,3,1,3,0,0,0,1,0,1,0,0,0,4,0,2,0,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,2,0,0,0,2,0,98,,,,,,,,80,3
"8","BRS","Broadview Public Library District","XBR","https://catalog.swanlibraries.net/brs","January",2011,17,"brs",5724,5574,582,88,0,11968,0.00455218524290176,"BRS Broadview",1,0,5,1,0,0,0,1,0,1,2,3,0,0,0,0,0,0,0,1,0,6,1,0,0,0,8,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,12,0,1,0,1,0,2,1,0,0,3,0,4,0,0,1,0,6,0,1,0,1,1,1,0,2,0,1,0,2,0,10,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,7,0,1,0,1,1,1,0,1,0,9,0,5,1,2,0,0,0,1,2,3,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,3,0,1,2,3,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,4,1,167,,,,,,,,243,25
"9","BVS","Bridgeview Public Library","XBR","https://catalog.swanlibraries.net/bvs","January",2011,50,"bvs",1429,1306,240,15,0,2990,0.00113728558458191,"BVS Bridgeview",11,0,7,2,0,2,0,4,2,11,3,1,0,1,0,5,0,0,0,1,0,18,3,0,0,0,10,1,4,0,13,1,3,0,13,0,4,0,3,0,0,0,39,1,3,0,33,3,8,2,8,0,11,2,0,0,6,1,5,1,5,0,0,4,3,4,0,5,0,11,2,8,0,9,3,18,2,23,0,4,0,6,0,12,0,3,0,0,0,7,0,3,0,3,1,4,2,9,2,1,0,6,0,1,1,0,0,25,1,42,6,13,3,4,0,2,13,1,5,0,1,1,1,0,6,0,1,1,3,0,1,1,0,0,5,1,3,3,1,0,1,0,3,0,0,4,0,2,0,2,0,0,4,4,2,0,10,5,0,0,3,0,9,0,2,1,18,0,622,,,,,,,,77,80
"10","BWS","Bellwood Public Library","XBR","https://catalog.swanlibraries.net/bws","January",2011,32,"bws",2921,2806,445,55,1,6228,0.00236890121096191,"BWS Bellwood",6,1,18,5,0,0,2,6,1,14,2,1,4,3,2,12,1,3,0,0,0,11,1,0,0,0,13,4,3,0,18,2,1,0,7,0,10,0,6,2,0,0,30,2,9,3,46,6,3,15,13,1,17,2,0,0,5,3,11,4,10,1,0,20,0,6,1,4,0,15,2,6,0,17,1,17,2,14,1,0,0,5,1,12,3,3,0,0,0,12,1,4,0,2,0,12,2,21,0,1,0,17,0,2,2,2,1,25,0,46,15,20,2,9,3,0,18,2,8,2,1,0,0,0,5,1,0,0,5,1,2,0,0,0,5,0,4,0,0,1,6,1,5,0,0,3,1,0,0,2,1,0,3,2,0,0,12,0,0,0,3,4,10,3,1,0,23,5,809,,,"bws",1,0,0,1,184,87
